,2020-06-20-2020-06-27,2020-06-27-2020-07-04,2020-07-04-2020-07-11,2020-07-11-2020-07-18,2020-07-18-2020-07-25,2020-07-25-2020-08-01,2020-08-01-2020-08-08,2020-08-08-2020-08-15,2020-08-15-2020-08-22,2020-08-22-2020-08-29,2020-08-29-2020-09-05,2020-09-05-2020-09-12,2020-09-12-2020-09-19,2020-09-19-2020-09-26,2020-09-26-2020-10-03,2020-10-03-2020-10-10,2020-10-10-2020-10-17,2020-10-17-2020-10-24,2020-10-24-2020-10-31,2020-10-31-2020-11-07,2020-11-07-2020-11-14,2020-11-14-2020-11-21,2020-11-21-2020-11-28,2020-11-28-2020-12-05,2020-12-05-2020-12-12,2020-12-12-2020-12-19,2020-12-19-2020-12-26,2020-12-26-2021-01-02
Karlen_pypm,,,,,11.0,27.0,149.0,100.0,39.0,54.0,49.0,10.0,63.0,39.0,40.0,75.0,47.0,37.0,42.0,80.0,24.0,78.0,97.0,34.0,50.0,180.0,105.0,22.0
reich_AIpert_pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,169.0,208.0
reich_BPagano_RtDriven,,,,,,,,,,,,,,,,10.0,30.0,42.0,44.0,104.0,118.0,11.0,4.0,69.0,14.0,89.0,262.0,116.0
reich_Caltech_CS156,,,,,,,,,,,,,,,,,,,,61.0,12.0,25.0,49.0,75.0,80.0,190.0,75.0,83.0
reich_CEID_Walk,,,,,,,,51.0,95.0,11.0,55.0,90.0,49.0,23.0,68.0,36.0,8.0,25.0,61.0,57.0,18.0,1.0,5.0,141.0,92.0,214.0,133.0,140.0
reich_CMU_TimeSeries,,,,,17.0,79.0,173.0,33.0,65.0,8.0,38.0,85.0,46.0,23.0,69.0,29.0,9.0,20.0,39.0,106.0,19.0,6.0,11.0,130.0,90.0,238.0,92.0,53.0
reich_Columbia_UNC_SurvCon,,,,,,,,,,,,,,,,,,19.0,64.0,108.0,4.0,114.0,133.0,25.0,120.0,229.0,77.0,53.0
reich_Covid19Sim_Simulator,,,60.0,171.0,178.0,104.0,134.0,,,113.0,31.0,69.0,13.0,31.0,36.0,77.0,49.0,25.0,34.0,90.0,60.0,,151.0,79.0,141.0,311.0,72.0,17.0
reich_CovidAnalytics_DELPHI,,,,,,,,,,,,,,,47.0,56.0,27.0,3.0,74.0,140.0,101.0,121.0,102.0,225.0,310.0,514.0,3.0,464.0
reich_COVIDhub_baseline,,,97.0,245.0,23.0,95.0,71.0,35.0,91.0,13.0,51.0,92.0,44.0,19.0,72.0,29.0,11.0,20.0,65.0,58.0,15.0,4.0,10.0,134.0,96.0,218.0,128.0,150.0
reich_COVIDhub_ensemble,,,101.0,204.0,59.0,67.0,71.0,48.0,8.0,25.0,12.0,75.0,37.0,29.0,37.0,33.0,16.0,25.0,50.0,83.0,13.0,11.0,19.0,95.0,84.0,211.0,118.0,95.0
reich_CU_nochange,,,,,,,,,,,,,,,,41.0,31.0,39.0,35.0,76.0,35.0,3.0,22.0,64.0,123.0,209.0,21.0,122.0
reich_CU_scenario_high,,,,,,,,,,,,,,,,38.0,31.0,39.0,35.0,75.0,31.0,6.0,24.0,62.0,122.0,210.0,23.0,122.0
reich_CU_scenario_low,,,,,,,,,,,,,,,,41.0,31.0,38.0,35.0,76.0,33.0,3.0,24.0,63.0,121.0,211.0,21.0,121.0
reich_CU_scenario_mid,,,,,,,,,,,,,,,,38.0,30.0,38.0,36.0,76.0,33.0,4.0,25.0,61.0,122.0,207.0,20.0,122.0
reich_CU_select,,,137.0,247.0,128.0,51.0,43.0,62.0,19.0,24.0,41.0,54.0,39.0,11.0,20.0,38.0,30.0,38.0,36.0,76.0,33.0,3.0,24.0,63.0,121.0,211.0,21.0,122.0
reich_DDS_NBDS,,,,,,520.0,443.0,418.0,6.0,2.0,14.0,82.0,28.0,3.0,18.0,23.0,43.0,33.0,43.0,98.0,1.0,38.0,12.0,128.0,67.0,117.0,145.0,91.0
reich_epiforecasts_ensemble1,,,,,,,,,,,,,,,,37.0,31.0,,64.0,52.0,31.0,25.0,19.0,122.0,73.0,135.0,,
reich_Geneva_DetGrowth,,,,,,,,,,,,,,,,14.0,19.0,10.0,102.0,41.0,75.0,10.0,19.0,131.0,68.0,171.0,294.0,422.0
reich_Google_Harvard_CPF,,,,,,,,,,,,,,,,35.0,48.0,56.0,26.0,52.0,12.0,84.0,68.0,31.0,98.0,162.0,121.0,30.0
reich_GT_DeepCOVID,,,,181.0,31.0,103.0,,,16.0,89.0,38.0,87.0,29.0,,26.0,33.0,23.0,57.0,88.0,72.0,23.0,40.0,23.0,131.0,19.0,115.0,178.0,39.0
reich_IHME_CurveFit,,,76.0,,210.0,50.0,295.0,66.0,,24.0,44.0,89.0,,46.0,31.0,,,33.0,51.0,,,,6.0,,217.0,267.0,,
reich_IowaStateLW_STEM,,,106.0,206.0,21.0,123.0,238.0,,164.0,166.0,104.0,200.0,57.0,16.0,90.0,64.0,40.0,28.0,32.0,102.0,29.0,0.0,36.0,84.0,96.0,122.0,208.0,94.0
reich_IQVIA_ACOE_STAN,,,,,,,,,,,,,,,,64.0,1.0,,57.0,30.0,53.0,21.0,23.0,106.0,,,,
reich_JCB_PRM,,,,,,72.0,53.0,43.0,60.0,8.0,17.0,32.0,50.0,50.0,19.0,66.0,27.0,43.0,45.0,86.0,20.0,34.0,63.0,70.0,50.0,179.0,118.0,56.0
reich_JHU_CSSE_DECOM,,,,,,,,,,,,,,,,35.0,,18.0,59.0,87.0,4.0,6.0,25.0,98.0,70.0,167.0,74.0,123.0
reich_JHU_IDD_CovidSP,,,54.0,221.0,152.0,102.0,52.0,65.0,19.0,65.0,36.0,21.0,52.0,68.0,0.0,23.0,6.0,8.0,70.0,126.0,91.0,15.0,24.0,37.0,93.0,229.0,297.0,58.0
reich_JHU_UNC_GAS_StatMechPool,,,,,,,,,,,,,,,,,,,61.0,106.0,,,,,,,,
reich_JHUAPL_Bucky,,,,,,,,,,,166.0,0.0,97.0,74.0,31.0,91.0,21.0,43.0,14.0,89.0,44.0,67.0,8.0,74.0,83.0,236.0,113.0,205.0
reich_LANL_GrowthRate,,,157.0,404.0,180.0,63.0,69.0,136.0,10.0,73.0,29.0,106.0,20.0,25.0,8.0,32.0,22.0,28.0,37.0,62.0,95.0,60.0,22.0,161.0,41.0,57.0,361.0,
reich_LNQ_ens1,,,,,83.0,2.0,2.0,88.0,20.0,64.0,36.0,52.0,63.0,42.0,21.0,17.0,15.0,14.0,51.0,78.0,45.0,16.0,30.0,120.0,31.0,159.0,86.0,218.0
reich_Microsoft_DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,43.0,132.0,201.0,119.0
reich_MIT_CritData_GBCF,,,,,,,,,,,,,,,,48.0,9.0,24.0,49.0,104.0,52.0,26.0,25.0,6.0,82.0,192.0,176.0,29.0
reich_MITCovAlliance_SIR,,,245.0,488.0,446.0,336.0,17.0,,11.0,,,24.0,30.0,46.0,21.0,,,46.0,,,,,,,,,,
reich_MOBS_GLEAM_COVID,,,97.0,273.0,30.0,215.0,222.0,9.0,4.0,35.0,35.0,16.0,38.0,40.0,122.0,11.0,36.0,9.0,82.0,48.0,32.0,7.0,7.0,115.0,89.0,272.0,78.0,85.0
reich_MSRA_DeepST,,,,,,,,,,,,,,,,,,24.0,,84.0,1.0,15.0,36.0,106.0,40.0,,,
reich_NotreDame_mobility,,,,,,,,,,,,,,,,22.0,13.0,26.0,30.0,71.0,46.0,0.0,31.0,47.0,75.0,279.0,,
reich_OliverWyman_Navigator,,,86.0,177.0,66.0,2.0,7.0,63.0,5.0,21.0,17.0,82.0,22.0,18.0,69.0,14.0,6.0,34.0,56.0,78.0,57.0,11.0,43.0,94.0,28.0,144.0,128.0,23.0
reich_PSI_DRAFT,,,176.0,301.0,56.0,308.0,386.0,18.0,26.0,25.0,12.0,54.0,24.0,53.0,18.0,46.0,10.0,3.0,74.0,114.0,69.0,147.0,219.0,122.0,143.0,311.0,38.0,69.0
reich_RobertWalraven_ESG,,,308.0,335.0,41.0,134.0,37.0,65.0,17.0,55.0,42.0,18.0,96.0,55.0,24.0,25.0,35.0,35.0,71.0,145.0,130.0,23.0,98.0,26.0,104.0,39.0,320.0,148.0
reich_RPI_UW_Mob_Collision,,,,,,,,194.0,140.0,51.0,11.0,133.0,50.0,22.0,61.0,108.0,39.0,15.0,50.0,109.0,67.0,15.0,15.0,91.0,118.0,308.0,112.0,133.0
reich_SteveMcConnell_CovidComplete,,,,,,,,,,79.0,35.0,44.0,32.0,42.0,99.0,64.0,6.0,23.0,38.0,81.0,11.0,65.0,82.0,21.0,88.0,225.0,188.0,40.0
reich_TTU_squider,,,,,,,,,,,,,,,,106.0,82.0,231.0,69.0,28.0,34.0,60.0,85.0,7.0,59.0,220.0,326.0,347.0
reich_UA_EpiCovDA,,,,,,,,,,,,,,,,31.0,16.0,28.0,37.0,69.0,64.0,41.0,44.0,130.0,78.0,174.0,174.0,292.0
reich_UChicagoCHATTOPADHYAY_UnIT,,,,,,,,,,,,,,,,,,,,,14.0,10.0,46.0,125.0,14.0,150.0,145.0,
reich_UCLA_SuEIR,,,102.0,141.0,94.0,199.0,71.0,52.0,68.0,8.0,44.0,78.0,40.0,20.0,67.0,32.0,72.0,23.0,60.0,36.0,26.0,17.0,18.0,141.0,75.0,222.0,139.0,239.0
reich_UCSB_ACTS,,,,,,,,,,,,,,,,,,,77.0,131.0,42.0,1.0,146.0,10.0,92.0,,113.0,214.0
reich_UCSD_NEU_DeepGLEAM,,,,,,,,,,,,86.0,32.0,37.0,125.0,16.0,37.0,5.0,77.0,40.0,37.0,2.0,5.0,112.0,79.0,255.0,103.0,102.0
reich_UMass_MechBayes,,,66.0,183.0,116.0,10.0,20.0,57.0,19.0,61.0,31.0,55.0,34.0,29.0,30.0,43.0,19.0,49.0,32.0,48.0,18.0,48.0,94.0,22.0,6.0,126.0,75.0,95.0
reich_UMich_RidgeTfReg,,,,,176.0,,,166.0,,41.0,18.0,128.0,23.0,57.0,126.0,82.0,57.0,48.0,28.0,33.0,,,,,,,192.0,236.0
reich_USACE_ERDC_SEIR,,,29.0,165.0,514.0,32.0,51.0,60.0,88.0,12.0,45.0,8.0,56.0,69.0,15.0,,28.0,,3.0,,,53.0,122.0,109.0,,,,
reich_UT_Mobility,,,99.0,21.0,141.0,328.0,353.0,,68.0,9.0,,,3.0,38.0,3.0,13.0,25.0,12.0,43.0,111.0,115.0,27.0,24.0,97.0,57.0,10.0,345.0,
UMich_RidgeTfReg,95.0,72.0,130.0,284.0,171.0,282.0,268.0,127.0,47.0,19.0,20.0,92.0,6.0,9.0,99.0,83.0,,,,,,,,,,,,
USC_SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,72.0,35.0,,,,,,,
USC_SI_kJalpha,,,3.0,214.0,2.0,5.0,83.0,50.0,45.0,28.0,14.0,70.0,70.0,13.0,51.0,40.0,6.0,25.0,40.0,33.0,102.0,48.0,33.0,79.0,69.0,142.0,209.0,101.0
YYG_ParamSearch,,,79.0,191.0,47.0,62.0,98.0,53.0,91.0,4.0,9.0,78.0,50.0,43.0,59.0,37.0,,,,,,,,,,,,
 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
